Cohort Year,Year,School,Conference,Sport,State,GSR,FGR,,
2011,2017-2018,Michigan State University,Big Ten Conference,Football,MI,82,67,,
2011,2017-2018,University of Michigan,Big Ten Conference,Football,MI,87,69,,
2011,2017-2018,Middle Tennessee State University,Conference USA,Football,TN,86,65,,
2011,2017-2018,"University of Minnesota, Twin Cities",Big Ten Conference,Football,MN,89,71,,
2011,2017-2018,Mississippi State University,Southeastern Conference,Football,MS,83,68,,
2011,2017-2018,Mississippi Valley State University,Southwestern Athletic Conf.,Football,MS,88,43,,
2011,2017-2018,University of Mississippi,Southeastern Conference,Football,MS,68,52,,
2011,2017-2018,"University of Missouri, Columbia",Southeastern Conference,Football,MO,89,77,,
2011,2017-2018,Monmouth University,Big South Conference,Football,NJ,86,70,,
2011,2017-2018,Montana State University-Bozeman,Big Sky Conference,Football,MT,72,60,,
2011,2017-2018,University of Montana,Big Sky Conference,Football,MT,63,50,,
2011,2017-2018,Morehead State University,Pioneer Football League,Football,KY,59,,,
2011,2017-2018,Morgan State University,Mid-Eastern Athletic Conf.,Football,MD,57,45,,
2011,2017-2018,Murray State University,Ohio Valley Conference,Football,KY,79,59,,
2011,2017-2018,"University of North Carolina, Chapel Hill",Atlantic Coast Conference,Football,NC,62,48,,
2011,2017-2018,The University of North Carolina at Charlotte,Conference USA,Football,NC,100,,,
2011,2017-2018,"University of Nebraska, Lincoln",Big Ten Conference,Football,NE,82,72,,
2011,2017-2018,"University of Nevada, Las Vegas",Mountain West Conference,Football,NV,63,56,,
2011,2017-2018,"University of Nevada, Reno",Mountain West Conference,Football,NV,69,43,,
2011,2017-2018,University of New Hampshire,Colonial Athletic Association,Football,NH,94,78,,
2011,2017-2018,New Mexico State University,Independent,Football,NM,73,63,,
2011,2017-2018,University of New Mexico,Mountain West Conference,Football,NM,59,41,,
2011,2017-2018,Nicholls State University,Southland Conference,Football,LA,71,52,,
2011,2017-2018,Norfolk State University,Mid-Eastern Athletic Conf.,Football,VA,67,60,,
