Unnamed: 0,ds,yhat,yhat_lower,yhat_upper,zipcode
,2018-10-01 00:00:00,832579.258748688,799423.0849972736,871127.6412008324,47634
,2018-11-01 00:00:00,838368.5992087628,797655.9695491875,883734.690755837,47634
,2018-12-01 00:00:00,843200.3660094852,798051.1438551679,892031.7161360706,47634
,2018-01-01 00:00:00,786846.9524537202,779018.6580449224,794382.8708708984,47635
,2018-02-01 00:00:00,791448.0707356804,783542.77751424,799822.3094321626,47635
,2018-03-01 00:00:00,798743.8584497492,790538.2038400685,807856.2984529238,47635
,2018-04-01 00:00:00,803367.3670846123,792792.1952819129,813994.1957498853,47635
,2018-05-01 00:00:00,809417.3223539225,796458.8105856415,823250.8674792321,47635
,2018-06-01 00:00:00,813348.8760128026,798080.0008416339,832053.5866289064,47635
,2018-07-01 00:00:00,817544.6544986108,797123.7776594814,838604.4912087985,47635
,2018-08-01 00:00:00,822145.4698156724,798829.4756576288,848704.4140979421,47635
,2018-09-01 00:00:00,827959.7543596914,798817.0098624498,858883.4948149046,47635
,2018-10-01 00:00:00,832579.258748688,799423.0849972736,871127.6412008324,47635
,2018-11-01 00:00:00,838368.5992087628,797655.9695491875,883734.690755837,47635
,2018-12-01 00:00:00,843200.3660094852,798051.1438551679,892031.7161360706,47635
,2018-01-01 00:00:00,786846.9524537202,779018.6580449224,794382.8708708984,47637
,2018-02-01 00:00:00,791448.0707356804,783542.77751424,799822.3094321626,47637
,2018-03-01 00:00:00,798743.8584497492,790538.2038400685,807856.2984529238,47637
,2018-04-01 00:00:00,803367.3670846123,792792.1952819129,813994.1957498853,47637
,2018-05-01 00:00:00,809417.3223539225,796458.8105856415,823250.8674792321,47637
,2018-06-01 00:00:00,813348.8760128026,798080.0008416339,832053.5866289064,47637
,2018-07-01 00:00:00,817544.6544986108,797123.7776594814,838604.4912087985,47637
,2018-08-01 00:00:00,822145.4698156724,798829.4756576288,848704.4140979421,47637
,2018-09-01 00:00:00,827959.7543596914,798817.0098624498,858883.4948149046,47637
,2018-10-01 00:00:00,832579.258748688,799423.0849972736,871127.6412008324,47637
,2018-11-01 00:00:00,838368.5992087628,797655.9695491875,883734.690755837,47637
,2018-12-01 00:00:00,843200.3660094852,798051.1438551679,892031.7161360706,47637
,2018-01-01 00:00:00,786846.9524537202,779018.6580449224,794382.8708708984,47638
,2018-02-01 00:00:00,791448.0707356804,783542.77751424,799822.3094321626,47638
,2018-03-01 00:00:00,798743.8584497492,790538.2038400685,807856.2984529238,47638
,2018-04-01 00:00:00,803367.3670846123,792792.1952819129,813994.1957498853,47638
,2018-05-01 00:00:00,809417.3223539225,796458.8105856415,823250.8674792321,47638
,2018-06-01 00:00:00,813348.8760128026,798080.0008416339,832053.5866289064,47638
,2018-07-01 00:00:00,817544.6544986108,797123.7776594814,838604.4912087985,47638
,2018-08-01 00:00:00,822145.4698156724,798829.4756576288,848704.4140979421,47638
,2018-09-01 00:00:00,827959.7543596914,798817.0098624498,858883.4948149046,47638
,2018-10-01 00:00:00,832579.258748688,799423.0849972736,871127.6412008324,47638
,2018-11-01 00:00:00,838368.5992087628,797655.9695491875,883734.690755837,47638
,2018-12-01 00:00:00,843200.3660094852,798051.1438551679,892031.7161360706,47638
,2018-01-01 00:00:00,786846.9524537202,779018.6580449224,794382.8708708984,47639
,2018-02-01 00:00:00,791448.0707356804,783542.77751424,799822.3094321626,47639
,2018-03-01 00:00:00,798743.8584497492,790538.2038400685,807856.2984529238,47639
,2018-04-01 00:00:00,803367.3670846123,792792.1952819129,813994.1957498853,47639
,2018-05-01 00:00:00,809417.3223539225,796458.8105856415,823250.8674792321,47639
,2018-06-01 00:00:00,813348.8760128026,798080.0008416339,832053.5866289064,47639
,2018-07-01 00:00:00,817544.6544986108,797123.7776594814,838604.4912087985,47639
,2018-08-01 00:00:00,822145.4698156724,798829.4756576288,848704.4140979421,47639
,2018-09-01 00:00:00,827959.7543596914,798817.0098624498,858883.4948149046,47639
,2018-10-01 00:00:00,832579.258748688,799423.0849972736,871127.6412008324,47639
,2018-11-01 00:00:00,838368.5992087628,797655.9695491875,883734.690755837,47639
,2018-12-01 00:00:00,843200.3660094852,798051.1438551679,892031.7161360706,47639
,2018-01-01 00:00:00,786846.9524537202,779018.6580449224,794382.8708708984,47648
,2018-02-01 00:00:00,791448.0707356804,783542.77751424,799822.3094321626,47648
,2018-03-01 00:00:00,798743.8584497492,790538.2038400685,807856.2984529238,47648
,2018-04-01 00:00:00,803367.3670846123,792792.1952819129,813994.1957498853,47648
,2018-05-01 00:00:00,809417.3223539225,796458.8105856415,823250.8674792321,47648
,2018-06-01 00:00:00,813348.8760128026,798080.0008416339,832053.5866289064,47648
,2018-07-01 00:00:00,817544.6544986108,797123.7776594814,838604.4912087985,47648
,2018-08-01 00:00:00,822145.4698156724,798829.4756576288,848704.4140979421,47648
,2018-09-01 00:00:00,827959.7543596914,798817.0098624498,858883.4948149046,47648
,2018-10-01 00:00:00,832579.258748688,799423.0849972736,871127.6412008324,47648
,2018-11-01 00:00:00,838368.5992087628,797655.9695491875,883734.690755837,47648
,2018-12-01 00:00:00,843200.3660094852,798051.1438551679,892031.7161360706,47648
,2018-01-01 00:00:00,786846.9524537202,779018.6580449224,794382.8708708984,47649
