ds,yhat,yhat_lower,yhat_upper,zipcode
2018-06-01,2344083.2814643485,2260607.448286738,2425103.0269115283,94025
2018-07-01,2359531.4539149394,2261412.5594545202,2461607.415567795,94025
2018-08-01,2377599.02644706,2259641.105241582,2507782.231161307,94025
2018-09-01,2393499.4639464165,2246264.025351113,2545286.4195054453,94025
2018-10-01,2406214.284614277,2242063.6941703013,2576195.0110466373,94025
2018-11-01,2429187.40600389,2241234.5147913354,2625700.708352091,94025
2018-12-01,2444070.4085909207,2221967.1025937726,2660486.693833946,94025
2018-01-01,6379112.073806893,6287064.376730889,6463792.600110649,94027
2018-02-01,6424560.698272681,6334495.513921397,6515357.585110293,94027
2018-03-01,6465548.12554225,6351968.8231433295,6567547.489622015,94027
2018-04-01,6517975.167401427,6389192.157521286,6628886.76260409,94027
2018-05-01,6560280.655163757,6430661.574718239,6690138.171309813,94027
2018-06-01,6605301.018446571,6457761.333727416,6764792.083380766,94027
2018-07-01,6648715.335850739,6459840.71378624,6821585.893823651,94027
2018-08-01,6707273.56589181,6452876.059021629,6920819.610796528,94027
2018-09-01,6757273.2393064685,6482053.778028905,7005681.078579677,94027
2018-10-01,6797896.720906185,6470310.85073824,7079037.961758683,94027
2018-11-01,6856717.634010285,6506976.562244871,7206154.642745262,94027
2018-12-01,6903574.041583792,6521474.145250209,7284832.621109081,94027
2018-01-01,3436866.6031320835,3366160.16802277,3508028.722814308,94028
2018-02-01,3459382.0512317377,3387540.650162652,3528254.2529286267,94028
2018-03-01,3479902.5894836388,3396593.8813209506,3554524.0780040096,94028
2018-04-01,3505541.1226615813,3396603.883540343,3591709.0775855365,94028
2018-05-01,3526113.6191291646,3398954.3815955725,3625092.041044169,94028
2018-06-01,3548028.1929593147,3362222.594118751,3692242.986830895,94028
2018-07-01,3565086.2181252735,3363729.5102630374,3739627.883096962,94028
2018-08-01,3595014.556776718,3317264.3797054584,3816561.410112741,94028
2018-09-01,3620533.160914391,3306273.182150091,3884400.3139169817,94028
2018-10-01,3637221.9110334027,3222933.1710468554,3954982.7719267164,94028
2018-11-01,3670300.413021642,3223338.0047919974,4032111.762716265,94028
2018-12-01,3693766.984943554,3207179.6222603014,4115613.4965125592,94028
2018-01-01,1702452.7879719543,1683416.508050582,1721748.335822573,94030
2018-02-01,1723169.5362776814,1703756.1239833764,1745634.8673621789,94030
2018-03-01,1719405.1698112437,1695022.914622273,1745068.228895525,94030
2018-04-01,1740611.8394437588,1709197.8997581443,1771778.117209557,94030
2018-05-01,1752333.304782028,1713222.4736380458,1789992.4845035237,94030
2018-06-01,1773833.0751095794,1721497.2144769824,1821692.1154803887,94030
2018-07-01,1786123.4884750994,1723678.3158681726,1845380.9035397908,94030
2018-08-01,1811824.0404533283,1740102.2115720713,1888579.5644034427,94030
2018-09-01,1835046.5230561562,1744470.8184502395,1928459.279856003,94030
2018-10-01,1847677.4865205365,1748492.9286778849,1949603.2835169334,94030
2018-11-01,1871094.8243679954,1754163.0433551052,1995316.7212438022,94030
2018-12-01,1884076.2122582335,1749832.039901729,2020232.1774570502,94030
2018-01-01,1109629.693958479,1091006.5876643416,1128002.4123393847,94037
2018-02-01,1115510.8034326846,1095484.8413309858,1135524.610412954,94037
2018-03-01,1127884.8578368917,1106191.2303411711,1149552.6134340717,94037
2018-04-01,1135314.5705365238,1112864.7157525385,1158314.3249285286,94037
2018-05-01,1140430.738885213,1112091.68938215,1171141.3263989403,94037
2018-06-01,1145364.8954334296,1110726.1268939064,1185942.5178622562,94037
2018-07-01,1154501.9257748201,1111172.5320560895,1203484.0439114075,94037
2018-08-01,1163269.7621471265,1110310.5417860106,1221821.706269676,94037
2018-09-01,1167522.189229993,1105436.0355410862,1237354.1848697015,94037
2018-10-01,1173837.6494158308,1094447.4678745077,1251311.143625723,94037
2018-11-01,1183649.0432077837,1095763.7902682088,1269999.4888631457,94037
2018-12-01,1193580.3117679993,1097170.7318011324,1293286.2432225968,94037
2018-01-01,1094278.6333466927,1077269.117823275,1110024.0889059007,94038
2018-02-01,1101244.0539226,1085498.7304230195,1116815.816941983,94038
2018-03-01,1114471.4373701494,1095313.158003823,1136072.2807945595,94038
2018-04-01,1121413.8155340566,1097449.6711647678,1151125.032935721,94038
2018-05-01,1126698.241756507,1092975.876355772,1160621.4948245366,94038
2018-06-01,1132831.008392474,1092746.8703763806,1179621.3884317384,94038
2018-07-01,1142106.210095622,1088947.6581424589,1201300.5202097916,94038
2018-08-01,1150806.1895428023,1084597.0302872309,1226531.421051873,94038
2018-09-01,1155691.240694672,1082032.5182035589,1244558.7942082512,94038
2018-10-01,1163031.8725896985,1068582.5709998128,1262507.106655067,94038
2018-11-01,1173948.753610886,1069200.1125871649,1294468.3723601366,94038
2018-12-01,1184258.6535844447,1060695.0331235714,1316108.9618524853,94038
2018-01-01,2544631.025253447,2502125.9826989197,2587404.749612956,94040
2018-02-01,2583353.634394125,2540525.1070294916,2626426.9464064445,94040
2018-03-01,2570724.986202702,2520545.92334664,2616843.4876487455,94040
2018-04-01,2611939.6558215627,2556985.945560264,2671659.117223283,94040
2018-05-01,2633374.2040639115,2556601.11814287,2709452.362007201,94040
